id,reference,pretrained_hyp,finetuned_hyp,pretrained_correct,finetuned_correct,utt_wer
1721,1963 में बांध बनने के बाद मौसमी बाढ़ जो पूरे नदी में तलछट फैला देगी वह रुक गई थी,एक अखार नासो तिरसत में बाद बनने के बाद मोसमी बाद जुपुर नदी में खल्चत फैला देगी वे रुग गई थी,start 0 23 end 14 14 speaker id 216849 text जी जी मतलब इसके बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब,False,False,4.947368421052632
1983,सभ्यता शब्द लैटिन सिविलिस से आया है जिसका अर्थ है नागरिक लैटिन सिविस से संबंधित है जिसका अर्थ है नागरिक और सिवितास जिसका अर्थ है शहर या शहर राज्य और वह एक तरह से समाज के आकार को भी परिभाषित करता है,सब्विताश अप लाटन सिविलिस से आया है जिसका अर्थे नागरेक लाटन सिविलिस से समंदित है जिसका अर्थे नागरेक और सिविताश जिसका अर्थे शहर या शहर राज और वह एक तरह से समाच के अकार को भी परिबाशित करता है,start 1 04 end 14 14 speaker id 216849 text जी जी मतलब इसके बारे मतलब बारे मतलब जो मतलब जो बारे मतलब जो बारे मतलब जो बारे मतलब जो बारे मतलब जो बारे मतलब जो बारे मतलब जो बारे मतलब जो बारे मतलब जो बारे मतलब जो बारे मतलब जो बारे मतलब जो बारे मतलब जो बारे मतलब बारे मतलब जो जो बारे मतलब अडिन जो जलती जलती जलती जलती जलती जलती जलती जलती जलती जलती जलती जलती जलती जलती जलती सुन्�,False,False,1.9761904761904763
1817,हालांकि शेंगेन ज़ोन इस मामले में कुछ हद तक एक देश की तरह काम करता है,हला की शेंगें जों इस मामले में कुछ हद्टक एक देश की तरा काम करता है,start 0 17 end 14 97 speaker id 256866 text जी जी मतलब इसके बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब,False,False,5.8125
1875,हमारे ग्रह की नदियों से महासागरों में जाने वाले पानी का 20% हिस्सा अमेज़न से आता है,हमारे गरे की नदियो से महाँ सागरो में जानेवाले पानी का भीस परतिषत हिस्सा अमेजन से आता है,start 0 65 end 14 17 speaker id 108626 text जी मैं पूरा होता है जी मैं पूरा होता है जी मैं पूरा होता है start 14 17 end 14 73 speaker id 108626 text हाँ पूरा मैं पूरा मैं पूरा मैं पूरा मैं पूरा मैं पूरा मैं पूरा मैं पूरा मैं पूरा मैं पूरा मैं पूरा मैं पूरा मैं पूरा मैं पूरा मैं पूरा मैं पूरा मैं पूरा मैं पूरा मैं पूरा में पूरा मैं में पूरा मैं में पूरा मैं में पूरा मैं में पूरा मैं में पूरा मैं में पूरा मैं में पूरा मैं में पूरा मैं में पूरा में डियल्ल्ललललललललललललललललललललललललललललललललललल,False,False,6.0588235294117645
1679,एरोस्मिथ ने अपने दौरे के अपने शेष संगीत कार्यक्रमों को रद्द कर दिया है,एरोस्मित ने अपने दोरे के अपने शेश संगीट कारे करमों को रड़ कर दिया है,start 0 23 end 14 14 speaker id 216849 text जी जी मतलब इसके बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक मतलब एक बारे मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब,False,False,7.785714285714286
1761,फ़ोटोग्राफ़रों ने बाद में एक वृद्ध महिला की जगह ले ली क्योंकि उसे शौचालय जाना ज़रूरी था मेंडोज़ा को गोली मार दी गई थी,फोटोग्राफरो ने बाद में एक विरिद महिला की जगग लेली कुकि उसे स्वाचाले जाना जारूरी था मेंडोजा को गोली मार दी गगी ती,start 0 01 end 14 14 speaker id 216849 text जी जी मतलब इसके बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक �बजाना जाना जाना जाना जाना जाना जाना जाना जाना जाना,False,False,4.208333333333333
2002,यह डिवाइस को हवा में मूव करके खिलाड़ियों को एक्शन और मूवमेंट कंट्रोल करने की अनुमति देगा,यह दिवाइस को हवा में मूव करके खिलाडियो को अक्षन और मूववें कंत्रोल करने के अनुमती देगा,start 2 05 end 2 86 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221 speaker id 217221,False,False,9.705882352941176
1851,चीर धाराएं समुद्र तट पर लगकर लौटने वाली लहरों का प्रवाह होता है अक्सर एक चट्टान या इसी तरह के पदार्थों पर,चीर दाराए समुदर तट्ट पर लगाकर लोटने लेरों सका प्रवा होता है अकसर एक चट्टानिया इसी तराके पदार्तूपर,start 0 21 end 14 07 speaker id 256866 text जी मिस्ट्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे,False,False,3.4545454545454546
1751,तूफ़ान कैटरीना के मद्देनज़र राहत और पुनर्निर्माण पर चल रहे लंबे विवाद से बहस छिड़ गई थी जिसमें कुछ राजकोषीय रूढ़िवादियों ने बुश की न्यू ऑरलियन्स डील का मज़ाक बनाया है,तुफान केच्रीना के मद्दे नजर राहत और पुरने निर्मान पर चल रहे लंभे विवाद से बहिज़ चिर गए ती चिस में कुछ राज्कोश्यर रूडी वादियोंने भूश्की न्यू और्लिएं स्टील का मजाग बनाया है,start 0 23 end 14 14 speaker id 216849 text जी जी मतलब इसके बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब,False,False,3.5161290322580645
1974,इसी तरह पुरुषों के लिए घुटनों को ढंकने वाले ट्राउज़र पहनना ज़रूरी है,इसी ताए पुर्शो के ले गुट्नो को दखने वाले त्राउजर पहना जरूरी है,start 0 23 end 14 14 speaker id 216849 text जी जी मतलब इसके बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब,False,False,7.0
1746,पौधे फ़ोटोसिंथेसिस द्वारा सूर्य से अपना भोजन बनाते हैं वह छाया भी देते हैं,पोडे फोटो सिंटेसिस दूरा सुरे से अपना भूजर मनाते हैं वाच्या भी देते हैं,start 0 01 end 14 14 speaker id 216849 text जी जी मतलब इसके बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब,False,False,7.785714285714286
1813,बार्सिलोना की आधिकारिक भाषाएं कातलान और स्पेनिश हैं लगभग आधे लोग कातलान बोलना पसंद करते हैं एक बहुत बड़ी जनसंख्या में लोग इसे समझते हैं और लगभग हर कोई स्पेनिश जानता है,बार्शिलुना के अदिकारिक भासाये कातलन और स्पेनिष है लक्भक अदेलोक कातलन बोलना पासंट करते है एक बहुत भरी जन्सिंख्या में लोग इसे समझते है और लक्भर हर कोई स्पेनिष जनता है,start 1 04 end 15 11 speaker id 256866 text जी जी मतलब इसके बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब,False,False,3.375
